id,section,tags,level,status,version,created_at,updated_at,term_es,short_es,long_es,example_es,term_en,short_en,long_en,example_en
epoch,fundamentos,fundamentos;entrenamiento;proceso,basico,activo,1,2025-11-13,2025-11-13,Época (Epoch),Una pasada completa del modelo por todo el conjunto de datos de entrenamiento.,Una pasada completa del modelo por todo el conjunto de datos de entrenamiento.,Entrenar un modelo durante 50 épocas hasta que converja.,Epoch,One complete pass of the model through the entire training dataset.,One complete pass of the model through the entire training dataset.,Training a model for 50 epochs until it converges.
evaluacion_ab,tecnicas_procesos,experimentos;a_b,intermedio,activo,1,2025-11-13,2025-11-13,Evaluación A/B,Comparación controlada de dos versiones de un modelo o sistema para ver cuál funciona mejor.,Comparación controlada de dos versiones de un modelo o sistema para ver cuál funciona mejor.,Medir qué modelo de recomendación genera más ventas.,A/B testing,Controlled comparison of two versions of a model or system to see which performs better.,Controlled comparison of two versions of a model or system to see which performs better.,Measuring which recommendation model generates more sales.
evaluacion_impacto_ia,etica_regulacion,impacto;riesgo;evaluacion,intermedio,activo,1,2025-11-13,2025-11-13,Evaluación de impacto de IA,Análisis previo de riesgos y efectos antes de desplegar un sistema de inteligencia artificial.,Análisis previo de riesgos y efectos antes de desplegar un sistema de inteligencia artificial.,Evaluar sesgos y privacidad antes de lanzar un chatbot legal.,AI impact assessment,Prior analysis of risks and effects before deploying an AI system.,Prior analysis of risks and effects before deploying an AI system.,Assessing bias and privacy risks before launching a legal chatbot.
evaluacion_modelo,fundamentos,modelo;metricas,intermedio,activo,1,2025-11-13,2025-11-13,Evaluación del modelo,"Medición de la precisión y calidad del modelo usando métricas como precisión, recall o F1-score.","Medición de la precisión y calidad del modelo usando métricas como precisión, recall o F1-score.",Probar un modelo de scoring de riesgo antes de lanzarlo al mercado.,Model evaluation,"Measuring model accuracy and quality using metrics such as accuracy, recall or F1-score.","Measuring model accuracy and quality using metrics such as accuracy, recall or F1-score.",Testing a risk scoring model before launching it to production.
etl,aplicaciones_herramientas,datos;pipeline;integracion,intermedio,activo,1,2025-11-13,2025-11-13,ETL (Extract-Transform-Load),"Proceso de extraer datos de múltiples fuentes, transformarlos a un formato común y cargarlos en un destino para análisis o entrenamiento.","Proceso de extraer datos de múltiples fuentes, transformarlos a un formato común y cargarlos en un destino para análisis o entrenamiento.","Pipeline ETL que extrae datos de CRM, ERP y web, los limpia y normaliza, y los carga en un data warehouse para entrenar modelos.",ETL (Extract-Transform-Load),"Process of extracting data from multiple sources, transforming it to a common format and loading it into a destination for analysis or training.","Process of extracting data from multiple sources, transforming it to a common format and loading it into a destination for analysis or training.","ETL pipeline that extracts data from CRM, ERP and web, cleans and normalizes it, and loads it into a data warehouse to train models."
explainability,tecnicas_procesos,explicabilidad;modelo,intermedio,activo,1,2025-11-13,2025-11-13,Explainability (explicabilidad),Capacidad de un modelo para justificar o explicar sus decisiones de forma comprensible.,Capacidad de un modelo para justificar o explicar sus decisiones de forma comprensible.,Mostrar por qué se ha denegado un préstamo automatizado.,Explainability,Ability of a model to justify or explain its decisions in an understandable way.,Ability of a model to justify or explain its decisions in an understandable way.,Showing why an automated system denied a loan.
fairness,etica_regulacion,equidad;etica;sesgo,intermedio,activo,1,2025-11-13,2025-11-13,Equidad (Fairness),Principio ético que asegura que los modelos de IA no discriminen grupos basados en atributos protegidos como género o etnia.,Principio ético que asegura que los modelos de IA no discriminen grupos basados en atributos protegidos como género o etnia.,Asegurar que un modelo de contratación trate igual a todos los candidatos.,Fairness,Ethical principle ensuring AI models do not discriminate against groups based on protected attributes like gender or ethnicity.,Ethical principle ensuring AI models do not discriminate against groups based on protected attributes like gender or ethnicity.,Ensuring a hiring model treats all candidates equally.
feature_engineering,tecnicas_procesos,features;diseno,avanzado,activo,1,2025-11-13,2025-11-13,Feature engineering,Selección y transformación de variables que mejoran el aprendizaje del modelo.,Selección y transformación de variables que mejoran el aprendizaje del modelo.,Derivar el campo tiempo desde la última compra a partir de fechas.,Feature engineering,Selection and transformation of variables that improve model learning.,Selection and transformation of variables that improve model learning.,Deriving the time since last purchase field from date data.
feature,fundamentos,datos;feature,intermedio,activo,1,2025-11-13,2025-11-13,Feature (característica),Variable o atributo de los datos que se utiliza para entrenar un modelo.,Variable o atributo de los datos que se utiliza para entrenar un modelo.,"Edad, país y frecuencia de compra en un modelo de predicción de ventas.",Feature,Variable or attribute in the data used to train a model.,Variable or attribute in the data used to train a model.,"Age, country and purchase frequency in a sales prediction model."
feature_store,aplicaciones_herramientas,mlops;datos;features,intermedio,activo,1,2025-11-13,2025-11-13,Feature Store,"Repositorio centralizado que almacena, documenta y sirve features para entrenamiento e inferencia de modelos.","Repositorio centralizado que almacena, documenta y sirve features para entrenamiento e inferencia de modelos.",Feast o Tecton para reutilizar features entre equipos y proyectos.,Feature Store,"Centralized repository that stores, documents and serves features for model training and inference.","Centralized repository that stores, documents and serves features for model training and inference.",Feast or Tecton to reuse features across teams and projects.
federated_learning,tecnicas_procesos,distribuido;privacidad;entrenamiento,avanzado,activo,1,2025-11-13,2025-11-13,Aprendizaje federado (Federated Learning),"Técnica de entrenamiento distribuido donde el modelo aprende de datos descentralizados sin que estos salgan de sus dispositivos originales, preservando privacidad.","Técnica de entrenamiento distribuido donde el modelo aprende de datos descentralizados sin que estos salgan de sus dispositivos originales, preservando privacidad.","Entrenar un modelo de teclado predictivo en millones de móviles sin que los datos personales salgan del dispositivo, como hace Google Gboard.",Federated Learning,"Distributed training technique where the model learns from decentralized data without it leaving the original devices, preserving privacy.","Distributed training technique where the model learns from decentralized data without it leaving the original devices, preserving privacy.","Training a predictive keyboard model on millions of phones without personal data leaving the device, as Google Gboard does."
few_shot,modelos_arquitecturas,pocos_datos;ejemplos,intermedio,activo,1,2025-11-13,2025-11-13,Few-shot learning,Aprendizaje a partir de pocos ejemplos etiquetados.,Aprendizaje a partir de pocos ejemplos etiquetados.,Entrenar un modelo con solo unos pocos formularios de ejemplo.,Few-shot learning,Learning from only a small number of labeled examples.,Learning from only a small number of labeled examples.,Training a model with only a handful of example forms.
filtros_seguridad,etica_regulacion,seguridad;moderacion;contenido,intermedio,activo,1,2025-11-13,2025-11-13,Filtros de seguridad,"Reglas y modelos adicionales que bloquean o modifican respuestas del LLM para evitar contenido dañino, ilegal o inapropiado.","Reglas y modelos adicionales que bloquean o modifican respuestas del LLM para evitar contenido dañino, ilegal o inapropiado.","Evitar que un chatbot de atención al cliente genere insultos, datos personales o consejos médicos peligrosos.",Safety filters,"Additional rules and models that block or modify LLM responses to prevent harmful, illegal or inappropriate content.","Additional rules and models that block or modify LLM responses to prevent harmful, illegal or inappropriate content.","Preventing a customer support chatbot from generating insults, personal data or dangerous medical advice."
fine_tuning,modelos_arquitecturas,ajuste;modelo;dominio,intermedio,activo,1,2025-11-13,2025-11-13,Fine-tuning,Ajuste de un modelo base con datos específicos para un caso de uso concreto.,Ajuste de un modelo base con datos específicos para un caso de uso concreto.,Entrenar GPT con documentación interna para soporte técnico.,Fine-tuning,Adapting a base model with specific data for a concrete use case.,Adapting a base model with specific data for a concrete use case.,Training GPT with internal documentation for technical support.
framework_ia,aplicaciones_herramientas,framework;desarrollo,intermedio,activo,1,2025-11-13,2025-11-13,Framework de IA,"Conjunto de librerías y herramientas para desarrollar, entrenar y desplegar modelos de IA.","Conjunto de librerías y herramientas para desarrollar, entrenar y desplegar modelos de IA.",Uso de TensorFlow o PyTorch en proyectos de visión por computador.,AI framework,"Set of libraries and tools for developing, training and deploying AI models.","Set of libraries and tools for developing, training and deploying AI models.",Using TensorFlow or PyTorch in computer vision projects.
futuro_trabajo_ia,etica_regulacion,futuro_trabajo;competencias;empresa,basico,activo,1,2025-11-13,2025-11-13,Futuro del trabajo con IA,Cambios en roles y competencias profesionales provocados por la adopción de la inteligencia artificial.,Cambios en roles y competencias profesionales provocados por la adopción de la inteligencia artificial.,Programas de formación continua en IA aplicada para equipos corporativos.,Future of work with AI,Changes in professional roles and skills driven by the adoption of artificial intelligence.,Changes in professional roles and skills driven by the adoption of artificial intelligence.,Continuous training programs in applied AI for corporate teams.
gan,modelos_arquitecturas,arquitectura;generativa;adversarial,avanzado,activo,1,2025-11-13,2025-11-13,Red adversarial generativa (GAN),"Modelo compuesto por un generador y un discriminador que compiten para crear datos realistas, como imágenes sintéticas.","Modelo compuesto por un generador y un discriminador que compiten para crear datos realistas, como imágenes sintéticas.",Generar datos falsos para pruebas de privacidad en bases de datos.,Generative Adversarial Network (GAN),"Model consisting of a generator and discriminator that compete to create realistic data, such as synthetic images.","Model consisting of a generator and discriminator that compete to create realistic data, such as synthetic images.",Generating fake data for privacy testing in databases.
gdpr,etica_regulacion,regulacion;privacidad;ue,intermedio,activo,1,2025-11-13,2025-11-13,Reglamento General de Protección de Datos (GDPR),"Marco legal de la UE para la protección de datos personales, aplicable a sistemas de IA que procesan información sensible.","Marco legal de la UE para la protección de datos personales, aplicable a sistemas de IA que procesan información sensible.",Obtener consentimiento para usar datos de clientes en modelos de IA.,General Data Protection Regulation (GDPR),"EU legal framework for personal data protection, applicable to AI systems processing sensitive information.","EU legal framework for personal data protection, applicable to AI systems processing sensitive information.",Obtaining consent for using customer data in AI models.
generador_audio,aplicaciones_herramientas,audio;voz;sintesis,intermedio,activo,1,2025-11-13,2025-11-13,Generador de audio,Modelo que sintetiza voz o música a partir de texto o parámetros.,Modelo que sintetiza voz o música a partir de texto o parámetros.,Crear locuciones para vídeos corporativos.,Audio generator,Model that synthesizes voice or music from text or parameters.,Model that synthesizes voice or music from text or parameters.,Creating voice-overs for corporate videos.
generador_imagenes,aplicaciones_herramientas,imagen;generativa;creatividad,basico,activo,1,2025-11-13,2025-11-13,Generador de imágenes,Modelo que crea imágenes a partir de descripciones en lenguaje natural.,Modelo que crea imágenes a partir de descripciones en lenguaje natural.,Diseñar prototipos o materiales publicitarios.,Image generator,Model that creates images from natural language descriptions.,Model that creates images from natural language descriptions.,Designing prototypes or marketing materials.
generador_texto,aplicaciones_herramientas,texto;generativa;contenido,basico,activo,1,2025-11-13,2025-11-13,Generador de texto,Modelo capaz de redactar textos a partir de instrucciones o prompts.,Modelo capaz de redactar textos a partir de instrucciones o prompts.,Creación de artículos o descripciones de producto para e-commerce.,Text generator,Model that writes text based on instructions or prompts.,Model that writes text based on instructions or prompts.,Creating articles or product descriptions for e-commerce.
generador_video,aplicaciones_herramientas,video;generativa,intermedio,activo,1,2025-11-13,2025-11-13,Generador de vídeo,"Sistema que produce clips o animaciones a partir de texto, imágenes o plantillas.","Sistema que produce clips o animaciones a partir de texto, imágenes o plantillas.",Generar anuncios automáticos con actores virtuales.,Video generator,"System that produces video clips or animations from text, images or templates.","System that produces video clips or animations from text, images or templates.",Generating automatic ads with virtual actors.
gobernanza_datos,etica_regulacion,gobernanza;datos;estrategia,intermedio,activo,1,2025-11-13,2025-11-13,Gobernanza de datos,"Gestión estratégica del ciclo de vida de los datos en una organización, incluyendo calidad, acceso y seguridad.","Gestión estratégica del ciclo de vida de los datos en una organización, incluyendo calidad, acceso y seguridad.",Definir políticas de quién puede ver y usar ciertos datos.,Data governance,"Strategic management of the data lifecycle in an organization, including quality, access and security.","Strategic management of the data lifecycle in an organization, including quality, access and security.",Defining policies for who can view and use certain data.
gradient_descent,fundamentos,fundamentos;optimizacion;entrenamiento,intermedio,activo,1,2025-11-13,2025-11-13,Descenso de gradiente (Gradient Descent),Algoritmo de optimización que ajusta los parámetros del modelo iterativamente para minimizar la función de pérdida.,Algoritmo de optimización que ajusta los parámetros del modelo iterativamente para minimizar la función de pérdida.,Usado para entrenar modelos minimizando errores en predicciones.,Gradient Descent,Optimization algorithm that iteratively adjusts model parameters to minimize the loss function.,Optimization algorithm that iteratively adjusts model parameters to minimize the loss function.,Used to train models by minimizing prediction errors.
green_ai,etica_regulacion,sostenibilidad;energia;huella,intermedio,activo,1,2025-11-13,2025-11-13,Green AI,Enfoque que prioriza la eficiencia energética y la reducción de huella de carbono en proyectos de IA.,Enfoque que prioriza la eficiencia energética y la reducción de huella de carbono en proyectos de IA.,Elegir modelos más pequeños cuando sea posible para reducir consumo de recursos.,Green AI,Approach that prioritizes energy efficiency and carbon footprint reduction in AI projects.,Approach that prioritizes energy efficiency and carbon footprint reduction in AI projects.,Choosing smaller models when possible to reduce resource consumption.
grounding,tecnicas_procesos,rag;precision;actualizacion,intermedio,activo,1,2025-11-13,2025-11-13,Grounding,Técnica para anclar las respuestas del modelo a datos reales y actualizados (normalmente vía RAG) y evitar alucinaciones.,Técnica para anclar las respuestas del modelo a datos reales y actualizados (normalmente vía RAG) y evitar alucinaciones.,Un asistente que responde precios de productos usando siempre la base de datos interna en vez de su entrenamiento.,Grounding,"Technique to anchor model responses to real, up-to-date data (usually via RAG) to prevent hallucinations.","Technique to anchor model responses to real, up-to-date data (usually via RAG) to prevent hallucinations.",An assistant that answers product prices always looking at the internal database instead of its training data.
guardrails,etica_regulacion,seguridad;control;validacion,intermedio,activo,1,2025-11-13,2025-11-13,Guardrails (barandillas de seguridad),"Conjunto de reglas, validaciones y controles que limitan y guían el comportamiento de un modelo de IA para evitar salidas peligrosas o inapropiadas.","Conjunto de reglas, validaciones y controles que limitan y guían el comportamiento de un modelo de IA para evitar salidas peligrosas o inapropiadas.","Sistema que bloquea automáticamente respuestas con PII, lenguaje ofensivo o información médica no verificada antes de mostrarlas al usuario.",Guardrails,"Set of rules, validations and controls that limit and guide AI model behavior to prevent dangerous or inappropriate outputs.","Set of rules, validations and controls that limit and guide AI model behavior to prevent dangerous or inappropriate outputs.","System that automatically blocks responses with PII, offensive language or unverified medical information before showing them to the user."
hallucination,tecnicas_procesos,generativa;error;llm,intermedio,activo,1,2025-11-13,2025-11-13,Alucinación (Hallucination),Fenómeno en modelos generativos donde se producen respuestas plausibles pero falsas o inventadas.,Fenómeno en modelos generativos donde se producen respuestas plausibles pero falsas o inventadas.,Un LLM generando hechos incorrectos en un informe histórico.,Hallucination,Phenomenon in generative models where plausible but false or invented responses are produced.,Phenomenon in generative models where plausible but false or invented responses are produced.,An LLM generating incorrect facts in a historical report.
hiperparametros,fundamentos,fundamentos;modelo;ajuste,intermedio,activo,1,2025-11-13,2025-11-13,Hiperparámetros,Parámetros configurados manualmente antes del entrenamiento que controlan el proceso de aprendizaje del modelo.,Parámetros configurados manualmente antes del entrenamiento que controlan el proceso de aprendizaje del modelo.,Tasa de aprendizaje o número de capas en una red neuronal.,Hyperparameters,Parameters set manually before training that control the model's learning process.,Parameters set manually before training that control the model's learning process.,Learning rate or number of layers in a neural network.
human_in_the_loop,etica_regulacion,human_in_the_loop;revision,intermedio,activo,1,2025-11-13,2025-11-13,Human-in-the-loop,"Enfoque en el que una persona revisa, corrige o valida las decisiones de un modelo.","Enfoque en el que una persona revisa, corrige o valida las decisiones de un modelo.",Moderadores que validan contenido generado por IA antes de publicarlo.,Human-in-the-loop,"Approach in which a person reviews, corrects or validates the model's decisions.","Approach in which a person reviews, corrects or validates the model's decisions.",Moderators validating AI-generated content before publishing.
ia,fundamentos,fundamentos;empresa,basico,activo,1,2025-11-13,2025-11-13,Inteligencia artificial (IA),"Disciplina que busca que las máquinas realicen tareas que normalmente requieren inteligencia humana, como aprender, razonar o comunicarse.","Disciplina que busca que las máquinas realicen tareas que normalmente requieren inteligencia humana, como aprender, razonar o comunicarse.",Un sistema que analiza reclamaciones y sugiere respuestas automáticas.,Artificial intelligence (AI),"Field that aims to make machines perform tasks that normally require human intelligence, such as learning, reasoning or communicating.","Field that aims to make machines perform tasks that normally require human intelligence, such as learning, reasoning or communicating.",A system that analyzes complaints and suggests automatic responses.
ia_responsable,etica_regulacion,etica;riesgo;gobernanza,intermedio,activo,1,2025-11-13,2025-11-13,IA responsable,"Uso ético, transparente y seguro de la inteligencia artificial en productos y procesos.","Uso ético, transparente y seguro de la inteligencia artificial en productos y procesos.",Establecer revisiones humanas en decisiones que afectan a personas.,Responsible AI,"Ethical, transparent and safe use of artificial intelligence in products and processes.","Ethical, transparent and safe use of artificial intelligence in products and processes.",Introducing human review in decisions that affect people.
imbalanced_data,tecnicas_procesos,datos;calidad;sesgo,intermedio,activo,1,2025-11-13,2025-11-13,Datos desbalanceados (Imbalanced data),"Situación donde algunas clases tienen muchos más ejemplos que otras, causando sesgos en el modelo.","Situación donde algunas clases tienen muchos más ejemplos que otras, causando sesgos en el modelo.",Dataset de fraude con 99% transacciones legítimas y 1% fraudulentas.,Imbalanced data,"Situation where some classes have many more examples than others, causing model bias.","Situation where some classes have many more examples than others, causing model bias.",Fraud dataset with 99% legitimate transactions and 1% fraudulent.
inferencia,fundamentos,proceso;produccion,basico,activo,1,2025-11-13,2025-11-13,Inferencia,Uso de un modelo ya entrenado para generar resultados o predicciones.,Uso de un modelo ya entrenado para generar resultados o predicciones.,ChatGPT respondiendo preguntas en tiempo real.,Inference,Use of a trained model to generate results or predictions.,Use of a trained model to generate results or predictions.,ChatGPT answering questions in real time.
iot_ai,aplicaciones_herramientas,iot;dispositivos;integracion,intermedio,activo,1,2025-11-13,2025-11-13,IoT con IA (Internet of Things with AI),Integración de IA en dispositivos conectados para análisis en tiempo real y automatización.,Integración de IA en dispositivos conectados para análisis en tiempo real y automatización.,Sensores inteligentes en logística para optimizar rutas.,IoT with AI,Integration of AI into connected devices for real-time analysis and automation.,Integration of AI into connected devices for real-time analysis and automation.,Smart sensors in logistics for route optimization.
jailbreaking,etica_regulacion,seguridad;prompt;vulnerabilidad,intermedio,activo,1,2025-11-13,2025-11-13,Jailbreaking,Técnicas para eludir las restricciones de seguridad de un LLM y hacerle generar contenido prohibido.,Técnicas para eludir las restricciones de seguridad de un LLM y hacerle generar contenido prohibido.,Usar prompts elaborados para que ChatGPT ignore sus políticas de uso.,Jailbreaking,Techniques to bypass an LLM's safety restrictions and make it generate prohibited content.,Techniques to bypass an LLM's safety restrictions and make it generate prohibited content.,Using elaborate prompts to make ChatGPT ignore its usage policies.
knowledge_graph,aplicaciones_herramientas,grafo;conocimiento;relaciones,avanzado,activo,1,2025-11-13,2025-11-13,Grafo de conocimiento (Knowledge Graph),"Estructura de datos que representa entidades y sus relaciones en forma de grafo, permitiendo razonamiento complejo y búsquedas semánticas.","Estructura de datos que representa entidades y sus relaciones en forma de grafo, permitiendo razonamiento complejo y búsquedas semánticas.","Google Knowledge Graph conecta personas, lugares y conceptos; empresas usan grafos para relacionar productos, clientes y transacciones en sistemas RAG.",Knowledge Graph,"Data structure that represents entities and their relationships as a graph, enabling complex reasoning and semantic searches.","Data structure that represents entities and their relationships as a graph, enabling complex reasoning and semantic searches.","Google Knowledge Graph connects people, places and concepts; companies use graphs to relate products, customers and transactions in RAG systems."
latency,aplicaciones_herramientas,rendimiento;produccion;tiempo,intermedio,activo,1,2025-11-13,2025-11-13,Latencia,Tiempo que tarda el modelo en generar una respuesta una vez recibida la petición.,Tiempo que tarda el modelo en generar una respuesta una vez recibida la petición.,"En atención al cliente, una latencia >3 segundos aumenta el abandono de la conversación.",Latency,Time the model takes to generate a response after receiving the request.,Time the model takes to generate a response after receiving the request.,"In customer support, latency >3 seconds increases conversation abandonment."
latent_space,modelos_arquitecturas,representacion;matematicas;generativa,avanzado,activo,1,2025-11-13,2025-11-13,Espacio latente (Latent space),"Representación matemática abstracta y comprimida de los datos, donde puntos cercanos representan conceptos semánticamente similares.","Representación matemática abstracta y comprimida de los datos, donde puntos cercanos representan conceptos semánticamente similares.","En un espacio latente de caras, moverse en una dirección puede cambiar gradualmente la expresión de triste a feliz.",Latent space,"Abstract and compressed mathematical representation of data, where nearby points represent semantically similar concepts.","Abstract and compressed mathematical representation of data, where nearby points represent semantically similar concepts.","In a latent space of faces, moving in one direction might gradually change the expression from sad to happy."
llm,modelos_arquitecturas,texto;generativa;empresa,intermedio,activo,1,2025-11-13,2025-11-13,Modelo de lenguaje (LLM),Algoritmo entrenado con grandes volúmenes de texto para generar lenguaje natural.,Algoritmo entrenado con grandes volúmenes de texto para generar lenguaje natural.,GPT-4 o Claude usados para atención al cliente o generación de informes.,Language model (LLM),Algorithm trained on large volumes of text to generate natural language.,Algorithm trained on large volumes of text to generate natural language.,GPT-4 or Claude used for customer support or report generation.
lora,tecnicas_procesos,fine_tuning;eficiencia;optimizacion,intermedio,activo,1,2025-11-13,2025-11-13,LoRA (Low-Rank Adaptation),Técnica de fine-tuning eficiente que entrena solo matrices de bajo rango en lugar de todos los parámetros del modelo.,Técnica de fine-tuning eficiente que entrena solo matrices de bajo rango en lugar de todos los parámetros del modelo.,Adaptar Llama-3-70B a un dominio específico usando solo 0.1% de los parámetros.,LoRA (Low-Rank Adaptation),Efficient fine-tuning technique that trains only low-rank matrices instead of all model parameters.,Efficient fine-tuning technique that trains only low-rank matrices instead of all model parameters.,Adapting Llama-3-70B to a specific domain using only 0.1% of parameters.
loss_function,fundamentos,fundamentos;entrenamiento;optimizacion,intermedio,activo,1,2025-11-13,2025-11-13,Función de pérdida (Loss function),"Función matemática que mide la diferencia entre las predicciones del modelo y los valores reales, guiando el entrenamiento.","Función matemática que mide la diferencia entre las predicciones del modelo y los valores reales, guiando el entrenamiento.","Cross-entropy loss para clasificación, MSE para regresión.",Loss function,"Mathematical function that measures the difference between model predictions and actual values, guiding training.","Mathematical function that measures the difference between model predictions and actual values, guiding training.","Cross-entropy loss for classification, MSE for regression."
low_code_no_code_ia,aplicaciones_herramientas,low_code;no_code;automatizacion,basico,activo,1,2025-11-13,2025-11-13,Low-code / No-code IA,Plataformas que permiten crear soluciones de IA con poco o ningún código.,Plataformas que permiten crear soluciones de IA con poco o ningún código.,Herramientas de automatización para marketing o recursos humanos.,Low-code / No-code AI,Platforms that allow building AI solutions with little or no code.,Platforms that allow building AI solutions with little or no code.,Automation tools for marketing or human resources.
machine_learning,fundamentos,fundamentos;modelo;empresa,intermedio,activo,1,2025-11-13,2025-11-13,Aprendizaje automático (Machine Learning),Subcampo de la IA que entrena algoritmos para aprender de los datos sin ser programados explícitamente.,Subcampo de la IA que entrena algoritmos para aprender de los datos sin ser programados explícitamente.,Modelos que detectan fraudes analizando patrones de transacciones.,Machine learning,Subfield of AI that trains algorithms to learn from data without being explicitly programmed.,Subfield of AI that trains algorithms to learn from data without being explicitly programmed.,Models that detect fraud by analyzing transaction patterns.
mlops,fundamentos,mlops;devops;produccion,intermedio,activo,1,2025-11-13,2025-11-13,MLOps,Práctica que combina desarrollo y operaciones para gestionar modelos de IA en producción.,Práctica que combina desarrollo y operaciones para gestionar modelos de IA en producción.,Integrar modelos en el flujo de CI/CD de la empresa.,MLOps,Practice that combines development and operations to manage AI models in production.,Practice that combines development and operations to manage AI models in production.,Integrating models into the company's CI/CD pipeline.
model_distillation,tecnicas_procesos,optimizacion;eficiencia;modelo,avanzado,activo,1,2025-11-13,2025-11-13,Destilación de modelos (Model distillation),Técnica para transferir el conocimiento de un modelo grande y caro a uno más pequeño y rápido manteniendo casi la misma precisión.,Técnica para transferir el conocimiento de un modelo grande y caro a uno más pequeño y rápido manteniendo casi la misma precisión.,Convertir Llama-3-70B en una versión de 8B que corre en móviles o edge.,Model distillation,Technique to transfer knowledge from a large expensive model to a smaller faster one while keeping nearly the same accuracy.,Technique to transfer knowledge from a large expensive model to a smaller faster one while keeping nearly the same accuracy.,Turning Llama-3-70B into an 8B version that runs on phones or edge devices.
model_collapse,etica_regulacion,calidad;degradacion;sintetico,avanzado,activo,1,2025-11-13,2025-11-13,Colapso de modelo (Model collapse),"Fenómeno donde modelos entrenados con datos generados por otros modelos de IA degradan progresivamente su calidad, perdiendo diversidad y precisión.","Fenómeno donde modelos entrenados con datos generados por otros modelos de IA degradan progresivamente su calidad, perdiendo diversidad y precisión.","Si GPT-5 se entrena con textos generados por GPT-4, puede perder capacidad de generar contenido original y diverso.",Model collapse,"Phenomenon where models trained on data generated by other AI models progressively degrade in quality, losing diversity and accuracy.","Phenomenon where models trained on data generated by other AI models progressively degrade in quality, losing diversity and accuracy.","If GPT-5 is trained on text generated by GPT-4, it may lose ability to generate original and diverse content."
model_monitoring,aplicaciones_herramientas,mlops;produccion;calidad,intermedio,activo,1,2025-11-13,2025-11-13,Monitorización de modelos,"Seguimiento continuo del rendimiento, calidad y comportamiento de modelos en producción.","Seguimiento continuo del rendimiento, calidad y comportamiento de modelos en producción.",Alertas automáticas cuando la precisión del modelo cae por debajo del 90%.,Model monitoring,"Continuous tracking of performance, quality and behavior of models in production.","Continuous tracking of performance, quality and behavior of models in production.",Automatic alerts when model accuracy drops below 90%.
model_poisoning,etica_regulacion,seguridad;ataques;datos,avanzado,activo,1,2025-11-13,2025-11-13,Envenenamiento de modelos (Model poisoning),Ataque que corrompe los datos de entrenamiento para que el modelo aprenda comportamientos maliciosos.,Ataque que corrompe los datos de entrenamiento para que el modelo aprenda comportamientos maliciosos.,Inyectar datos falsos en el dataset para que el modelo clasifique mal ciertos casos.,Model poisoning,Attack that corrupts training data so the model learns malicious behaviors.,Attack that corrupts training data so the model learns malicious behaviors.,Injecting false data into the dataset to make the model misclassify certain cases.
model_registry,aplicaciones_herramientas,mlops;gestion;versionado,intermedio,activo,1,2025-11-13,2025-11-13,Registro de modelos (Model registry),"Repositorio centralizado que almacena, versiona y gestiona metadatos de todos los modelos de ML de la organización.","Repositorio centralizado que almacena, versiona y gestiona metadatos de todos los modelos de ML de la organización.",MLflow o Weights & Biases para rastrear versiones de modelos en producción.,Model registry,"Centralized repository that stores, versions and manages metadata for all ML models in the organization.","Centralized repository that stores, versions and manages metadata for all ML models in the organization.",MLflow or Weights & Biases to track model versions in production.
model_versioning,aplicaciones_herramientas,mlops;gestion;control,basico,activo,1,2025-11-13,2025-11-13,Versionado de modelos,Práctica de mantener registro de diferentes versiones de un modelo con sus cambios y metadatos.,Práctica de mantener registro de diferentes versiones de un modelo con sus cambios y metadatos.,Modelo v1.2.3 entrenado el 2025-11-13 con dataset actualizado.,Model versioning,Practice of maintaining records of different model versions with their changes and metadata.,Practice of maintaining records of different model versions with their changes and metadata.,Model v1.2.3 trained on 2025-11-13 with updated dataset.
moe,modelos_arquitecturas,arquitectura;escalabilidad;eficiencia,avanzado,activo,1,2025-11-13,2025-11-13,Mixture of Experts (MoE),"Arquitectura que divide el modelo en múltiples expertos especializados, activando solo los relevantes para cada entrada.","Arquitectura que divide el modelo en múltiples expertos especializados, activando solo los relevantes para cada entrada.",Mixtral 8x7B usa 8 expertos pero solo activa 2 por token.,Mixture of Experts (MoE),"Architecture that divides the model into multiple specialized experts, activating only the relevant ones for each input.","Architecture that divides the model into multiple specialized experts, activating only the relevant ones for each input.",Mixtral 8x7B uses 8 experts but only activates 2 per token.
multiagent_systems,aplicaciones_herramientas,agentes;colaboracion;coordinacion,avanzado,activo,1,2025-11-13,2025-11-13,Sistemas multiagente,"Arquitectura donde múltiples agentes de IA colaboran, negocian o compiten para resolver problemas complejos.","Arquitectura donde múltiples agentes de IA colaboran, negocian o compiten para resolver problemas complejos.","Agentes especializados en investigación, redacción y revisión trabajando juntos.",Multiagent systems,"Architecture where multiple AI agents collaborate, negotiate or compete to solve complex problems.","Architecture where multiple AI agents collaborate, negotiate or compete to solve complex problems.","Specialized agents in research, writing and review working together."
multimodalidad,modelos_arquitecturas,multimodal;imagen;texto,intermedio,activo,1,2025-11-13,2025-11-13,Multi-modalidad,"Capacidad de un modelo para entender y combinar distintos tipos de datos como texto, imagen o audio.","Capacidad de un modelo para entender y combinar distintos tipos de datos como texto, imagen o audio.",Subir una foto de un producto y obtener su descripción automática.,Multimodality,"Ability of a model to understand and combine different data types such as text, image or audio.","Ability of a model to understand and combine different data types such as text, image or audio.",Uploading a product photo and getting an automatic description.
